movieCd,movieNm
19580075,실락원의 별 2
19588001,사랑할 때와 죽을 때
19588002,산정에서의 나이팅게일
19588003,흑과 백
19588004,마지막 함성
19588005,남태평양
19588006,현기증
19588007,폭군 이반 2부
19588008,나는 살고 싶다
19588009,뜨거운 양철 지붕 위의 고양이
19588010,열정의 무대
19588012,지지
19588013,카지노 열풍
19588014,재와 다이아몬드
19588021,두 도시이야기
19588022,명문가 슈들레
19588023,플라이
19588024,종각
19588026,카라마조프가의 형제들
19588027,목포의 눈물
19588028,이국정원
19588029,사형대의 엘리베이터
19588030,여자의 일생
19588031,연인들
19588032,열쇠
19588078,어두운하늘
19588079,월광가면
19590001,히로시마 내사랑
19590006,벤허
19590031,비정
19590045,나는 고발한다
19598001,안네의 일기
19598002,잠자는 숲속의 미녀
19598003,게리 쿠퍼의 황야의 탈출
19598007,북북서로 진로를 돌려라
19598009,존 웨인의 기병대
19598010,청춘극장
19598012,리오 브라보
19598014,색채 댄스
19598015,피서지에서 생긴 일
19598016,백만장자가 되면
19598017,소매치기
19598018,인간의 운명
19598019,사이언스 프릭션
19598020,지난 여름 갑자기
19598021,파계
19598022,흑인 오르페
19598023,돌아온 플라이
19598024,건힐의 결투
19598025,미녀 탈옥수
19598026,연방경찰
19598027,7일간의 애정
19598028,꿈은 사라지고
19598029,나비부인
19598030,백련부인
19598032,사랑은 흘러가도
19598033,사랑의 십자가
19598034,사모님
19598035,아내만이 울어야 하나
19598036,여사장
19598037,여인숙
19598038,육체의 길
19598039,인생극장
19598040,자매의 화원
19598041,젊은 아내
19598042,추억의 목걸이
19598043,꼭대기 방
19598046,론리 하트
19598047,햄릿
19598048,열쇠
19598049,알카포네
19598050,여로
19598051,아내
19598052,춘희
19598053,흥부와 놀부
19598054,태양의 거리
19598055,살아야 한다
19598056,세가지약속
19598057,살인의 해부
19598058,구름에가린별
19600003,박서방
19600011,청춘의 윤리
19600017,로맨스 빠빠
19600018,하녀
19600026,견우직녀
19600030,카추사
19600031,어머니의 힘
19600032,인정부두
19600033,아들의 심판
19600034,추억은 영원히
19600035,제멋대로
19600037,심야의 부르스
19600038,과부
19600039,버림받은 천사
19600040,암흑을 뚫고
19600041,애수에 젖은 토요일
19600042,네 멋대로 해라
19600045,태양은 가득히
19600049,나쁜 놈일 수록 잘 잔다
19600050,아 백범 김구선생
19600051,표류도
19600052,천하태평
19600053,무화과
19600054,옥련공주와 활빈당
19600055,청춘 일번지
19600056,스타탄생
19600057,황혼
19600058,사랑이 피고지던 날
19600059,슬픔은 강물처럼
19600060,돌아온 사나이
19600061,지상의 비극
19600062,지상에서 맺지못할 사랑
19600063,정열 없는 살인
19600064,탈선 춘향전
19600065,투명인의 최후
19600066,내 마음의 노래
19600067,반역자의 비애
19600068,그리운 얼굴
19600069,산아제한
19600070,흰구름 가는 길
19600071,피는 살아있다
19600072,별들의 화원
19600073,연연
19600074,철조망
19600075,사랑해선 안될 사랑을
19600076,어느 여교사의 수기
19600077,무지개
19600078,울지 않으련다
19600079,이별의 종착역
19600080,길은 멀어도
19600081,사랑의 역사
19600082,바위고개
19600083,질투
19600084,낙화암과 삼천궁녀
19600085,해 떨어지기 전에
19600086,장미의 곡
19600087,젊은 설계도
19600088,신부여 돌아오라
19600089,죄 없는 청춘
19600090,햇빛 쏟아지는 벌판
19600091,대지의 어머니
19600092,부부
19600093,딸
19600094,그 이름을 잊으리
19600095,젊은 표정
19600096,울지마라 두남매
19600097,경상도사나이
19600098,그대 목소리
19600099,흙
19600100,저 언덕을 넘어서
19600101,귀거래
19600102,청춘 화원
19600103,회정
19600104,슬픈 목가
19600105,오형제
19600106,피 묻은 대결
19608001,천녀유혼
19608002,타임 머신
19608004,룻 이야기
19608005,오르페우스의 유언
19608006,셔우드의 검
19608007,호셀리토의 모험
19608010,에스더의 왕
19608012,싸이코
19608013,스팔타카스
19608015,지하철의 소녀
19608016,지 아이 블루
19608019,착한 여자들
19608020,이 생명 다하도록
19608021,오션스 일레븐
19608022,플레이밍 스타
19608024,사랑을 합시다
19608025,신의 법정
19608027,모데라토 칸타빌레
19608029,라인강을 넘어
19608043,울려고 내가 왔던가
19608044,13고스트
19608046,내 가슴에 그 노래를
19608047,사랑의 함정
19608048,폼페이 최후의 날
19608107,아들과 연인
19608108,4인의 무뢰한
19610001,웨스트 사이드 스토리
19610051,성춘향
19618001,초원의 빛
19618002,아름다운 추억
19618003,왕중왕
19618004,전선의 우정
19618005,언니는 말괄량이
19618006,에이리언 지구 위기
19618007,"하나, 둘, 셋"
19618009,티파니에서 아침을
19618010,허슬러
19618012,블루 하와이
19618013,애꾸눈 잭
19618014,장희빈
19618016,와일드 인 더 컨츄리
19618018,사랑이 머무르는 계절
19618019,최후의 건맨
19618020,아이들의 시간
19618021,코즈믹 레이
19618022,인생 갑을병
19618023,단 한번의 오랜 부재
19618024,오드의 투기장
19618028,노다지
19618029,마부 2편
19618031,돼지꿈
19618032,밤의 요정
19618033,투 로드 투게더
19618034,밀양 아리랑
19618035,심야의 고백
19618036,양산도
19618037,이별의 부산 정거장
19618038,인력거
19618039,임꺽정
19618040,정부
19618041,정조
19618042,촌 오복이
19618043,파멸
19618044,파천넘어 해당화
19618045,한국의 비극
19618046,황진이의 일생
19618047,고르고
19618048,광란의 매니아
19618050,비리디아나
19618053,춘향전
19618054,암흑가의 신사
19618055,알라딘의 마술램프
19618056,검은실크
19620056,꽁치의 맛
19620057,화랑도
19628001,지상 최대의 작전
19628002,맹진사댁 경사
19628003,모자초
19628004,손오공
19628005,잔다르크의 재판
19628006,알라바마 이야기
19628007,미라클 워커
19628008,대장 부리바
19628009,지옥의 영웅들
19628011,푸른 수염
19628012,007 살인번호
19628013,인목대비
19628014,심판
19628015,리버티 밸런스를 쏜 사나이
19628017,5시부터 7시까지 클레오
19628018,바운티 호의 반란
19628019,맨츄리안 캔디데이트
19628020,올 폴 다운
19628021,하타리
19628022,내일의 태양
19628023,인간 만세
19628024,소돔과 고모라
19628026,로리타
19628027,케이프 피어
19628028,와룡선생 상경기
19628030,바라바
19628031,붉은 스탬프
19628032,서부 개척사
19628033,콘크리트 정글
19628034,29세의 어머니
19628035,감나무골 공서방
19628036,구름이 흩어질 때
19628037,백만장자와 결혼하는 길
19628038,붉은 장미의 추억
19628039,빼앗긴 일요일
19628040,사랑과 미움의 세월
19628041,사랑도 슬픔도 세월이 가면
19628042,사랑을 다시 하지 않으리
19628043,아름다운 수의
19628044,악인은 없다
19628046,여인천하
19628048,운명의 골짜기
19628049,임자없는 나룻배
19628050,전쟁과 사랑
19628051,주유천하
19628052,천하일색 양귀비
19628053,초립동
19628055,보카치오 70
19628058,아낌없이 주련다
19628059,성웅 이순신
19628060,대도전
19628061,사랑과지옥
19628062,쥘과짐
19628063,검은집
19630013,작은 댁
19630015,새
19630042,중년부인
19630046,가정교사
19630048,내 아내가 최고야
19630072,사랑의 변주곡
19638001,아더왕의 검
19638002,엘비스 프레슬리의 박람회에서 생긴 일
19638003,빗속의 병사
19638007,샤레이드
19638008,돌아오지 않는 해병
19638009,도노반의 산호초
19638010,맥린턱
19638011,핑크 팬더
19638012,리오를 향하여
19638016,007 제2편 : 위기일발
19638017,나폴레옹 2세
19638018,아카풀코의 추억
19638019,텍사스 카우보이
19638021,클레오파트라
19638022,매드매드 대소동
19638023,추기경
19638024,태양의 왕
19638025,톰 존스
19638027,백년한
19638028,백마고지
19638029,애정 300년
19638030,청춘교실
19638031,야수의 청춘
19638032,탐정사무소 23 : 죽어라 악당들
19638033,도시에 군림하는 손
19638035,이블 아이
19638036,지중해의 여왕
19638037,침묵
19638038,몽소 빵집의 소녀
19638039,수잔느의 경력
19638040,전함 바이킹
19638041,8과 1/2
19638044,바이 바이 버디
19638045,스톡홀름의 위기
19638049,눈물젖은 두만강
19638050,단종애사
19638051,무덤에서 나온 신랑
19638052,미스김의 이중생활
19638053,민들레 꽃도 봄이면 핀다
19638054,부부 조약
19638055,사나이의 눈물
19638056,사위 소동
19638057,상처받은 두 여인
19638058,선술집 처녀
19638059,아내의 비밀
19638060,안개 낀 거리
19638061,약혼녀
19638062,옛날의 금잔디
19638063,여자의 열쇠
19638064,조강지처
19638065,창살없는 감옥
19638066,처와 그 여인
19638067,천국과 지옥
19638068,천동
19638069,청춘산맥
19638070,하녀의 고백
19638071,호랑이 꼬리를 밟은 사나이
19638073,관동무숙
19638074,연애수첩
19638075,아메리카 아메리카
19638076,아빠 안녕
19638077,키스미
19638078,성난능금
19638079,가슴에 꿈은 가득히
19638081,변화하는마을
19638082,목동의피리
