CompanyCd,CompanyNm,companyPartNames,ceoNm
20242381,파괴연구소,제작사,
20242213,프로덕션 큐,제작사,정연찬
20174061,영화사 소금,제작사,이수지
20231401,(주)빌리언스플러스,"제작사,공동제작사,배급사,수입사,제공,공동제공,해외세일즈사,저작권관련사,제작서비스-기획",김우재
20242321,스튜디오 수려,"제작사,배급사",이익준
20123325,테디웍스,"제작사,배급사,수입사",김경규
20242361,원코리아미디컴 ,제작사,
20188541,(주)영화사 업,제작사,김상수
20241565,102시네마,제작사,정기혁
20155211,(주)필름몬스터,제작사,박철수
20242212,(주)인터파크트리플,배급사,최휘영
20110854,(주)씨제이이엔엠,"제작사,배급사,수입사,제공,상영업",윤상현
20141911,솔앤드 주식회사,"제작사,배급사,수입사",오재명
20228946,원픽쳐스,"제작사,배급사",박남원
20242341,㈜더빅픽쳐,"제작사,배급사",김환욱
20241966,주식회사 소울크레인,"제작사,배급사",곽용근
20100450,영화사 집,"제작사,프로덕션 서비스",이유진
20100077,아이앤코스모스(주)시네와이즈필름,"제작사,배급사,수입사",홍지용
20114665,남화흥업(주),"제작사,수입사",
20231102,(주)프리즘웍스,"제작사,배급사",정진
20242281,(주)제이플러스비,제작사,
20242211,영화사 능소,제작사,
20228883,(주)플레이그램,"제작사,배급사,수입사",김재욱
20242210,㈜메이킷밸류,제작사,송재형
20175181,와이케이 인터내셔널,"제작사,배급사,수입사",이예경
20242241,㈜애닉이엔티,"제작사,배급사",서승우
20242242,파크403,제작사,박현진
20188021,롯데컬처웍스(주)롯데엔터테인먼트,"제작사,배급사,수입사,제공,해외세일즈사,상영업",최병환
20230987,롯데컬처웍스(주)롯데시네마,"제작사,배급사,수입사",최병환
20230447,롯데컬처웍스(주)롯시플,"제작사,배급사,수입사,상영업",최병환
20242208,콘텐츠 파크,수입사,김나현
20242223,(주)마파람,제작사,
20242222,로그필름,제작사,
20217585,(주)위즈온센,"제작사,배급사,수입사",박관우
20242221,주식회사 하라필름,제작사,유수철
20242207,행복의 집 미디어,제작사,선우동규
20230126,(주)넥슨코리아,제공,"강대현, 김정욱"
20231021,키제예 필름 컴퍼니,제작사,김정연
20102213,발타자르 필름,제작사,최원표
20242142,채널맥투,제작사,김홍익
20063097,주식회사 뭉클픽쳐스,제작사,이재용
20061234,㈜뭉클픽쳐스,"제작사,배급사,수입사",이재용
20142553,Mr. 에이젼트,제작사,양영일
20192721,(주)디베이스미디어,제작사,김희경
20158048,(주)콘텐츠지오,"제작사,배급사,수입사,제공,상영업",최현묵
20062306,스튜디오 빨간달팽이,제작사,안몽식
20158228,(주)다자인소프트,"제작사,배급사,수입사",김남희
20242205,탄탄필름,제작사,
20242204,(주)콘텐츠리,수입사,이창석
20229273,원컴퍼니,제작사,민원미
20176021,(사)부산국제어린이청소년영화제,"제작사,배급사,상영업",오치훈
20242203,주식회사 유피웍스,제작사,우종범
20100851,(주)화인컷,"제작사,배급사,수입사,해외세일즈사",서영주
20242202,주식회사 케이에스콘텐츠,제작사,곽애란
20000384,(주)에스에이엠지엔터테인먼트,"제작사,배급사,부가시장",김수훈
20205501,(주)위즈덤콘텐츠,"배급사,수입사,부가시장",이정연
20228966,(주)마인드마크,"제작사,배급사",김현우
20168970,에무 시네마 앤 카페,"제작사,배급사,수입사,상영업",김상민
2019641,(주)스튜디오 산타클로스엔터테인먼트,"제작사,수입사",배준오
20138660,(주)안나푸르나필름,제작사,이안나
20242201,배씨네 프로덕션,제작사,배소현
20155888,케플러49,제작사,정혜경
20241582,부일컨텐츠 주식회사,제작사,김승호
20190801,스튜디오메타 유한책임회사,"제작사,배급사",김희대
20062433,영화사 하늘,홍보사,김광현
20230141,케이씨벤처스 주식회사,제공,김승현
20217341,주식회사 크랭크인,"제작사,배급사",유상원
20242181,모로가도서울,제작사,
20229043,(주)에이디지컴퍼니,"제작사,배급사,수입사",박경미
20230711,신표 팩토리,제작사,신강하
20188741,(주)트리플픽쳐스,"제작사,배급사,수입사",강기명
20229201,HUNDRED12,제작사,원호연
20242145,㈜호라이즌엘에스티,"제작사,배급사",서민근
